Unnamed: 0,StudentId,CGPA,Major Projects,Certifications,Mini Projects,Technical Skills Rating,Internship,Hackathon,12th Percentage,10th Percentage,backlogs,PlacementStatus,Name,Age,Department,Attendance,Aptitude Score,Coding Score,Technical Interview Score,Programming Languages Known,Soft Skills Rating,Communication Score,Extra Curricular Activities,Expected Salary
0,1,7.5,1,1,1,6,No,No,61,79,2,NotPlaced,Dev Pillai,20,Electronics & Communication Engineering,61.0,36.0,63.7,58.7,"SQL, JavaScript, Python",4.8,89.4,No,5.76
1,2,8.9,0,3,2,9,Yes,Yes,78,82,0,Placed,Vikram Pandey,20,Computer Science & Engineering,80.7,97.4,100.0,90.2,"C++, Python, Java",4.0,85.4,No,40.01
2,3,7.3,1,2,2,8,Yes,No,79,80,2,NotPlaced,Kabir Singh,22,Civil Engineering,81.8,35.5,55.3,68.2,"SQL, Python, Java, Swift, Kotlin",5.0,95.7,Yes,5.8
3,4,7.5,1,1,2,8,Yes,Yes,81,80,0,Placed,Meera Choudhury,24,Electronics & Communication Engineering,86.9,86.0,85.3,71.5,"Java, Python, JavaScript, Kotlin",4.9,93.1,Yes,21.29
4,5,8.3,1,2,2,8,Yes,Yes,74,88,0,Placed,Priya Rao,24,Mechanical Engineering,79.1,79.0,82.3,86.5,"Python, C++, SQL",4.6,92.0,No,28.41
5,6,7.0,0,2,2,7,Yes,No,55,66,4,NotPlaced,Alok Verma,23,Mechanical Engineering,69.5,47.6,47.8,62.5,"Go, C++",4.2,90.0,No,5.8
6,7,7.7,1,1,1,7,No,No,62,65,4,NotPlaced,Amit Patel,20,Computer Science & Engineering,70.0,41.0,70.0,61.8,"JavaScript, Kotlin",3.9,78.7,No,5.8
7,8,7.7,2,1,0,8,Yes,Yes,59,72,3,NotPlaced,Karan Joshi,22,Information Technology,80.1,59.0,76.8,57.3,"Python, SQL, JavaScript, Java",3.7,67.7,No,5.8
8,9,6.5,1,1,0,8,No,Yes,75,71,2,NotPlaced,Abhishek Nair,21,Information Technology,78.4,74.4,76.6,51.2,"Python, SQL, Swift, Go, C++",3.9,76.9,No,5.37
9,10,7.8,1,3,2,7,Yes,Yes,85,86,0,Placed,Vihaan Sharma,21,Electronics & Communication Engineering,71.2,71.4,62.4,76.9,"Java, C++",4.6,81.1,Yes,19.2
10,11,8.3,2,3,2,9,Yes,Yes,82,88,0,Placed,Ananya Joshi,23,Electronics & Communication Engineering,76.2,75.7,94.9,82.8,"SQL, C++, Go",4.8,95.9,No,26.98
11,12,7.9,1,3,2,9,Yes,Yes,71,87,1,Placed,Nikhil Das,23,Electrical & Electronics Engineering,91.0,74.0,85.5,90.6,"Python, JavaScript, Java, Kotlin",4.7,93.8,No,25.35
12,13,8.3,2,3,2,9,Yes,Yes,84,83,0,Placed,Tanvi Reddy,20,Computer Science & Engineering,100.0,99.5,100.0,88.2,"JavaScript, Python, Swift, Java, SQL",4.5,90.4,No,27.87
13,14,7.7,1,1,1,7,No,Yes,63,73,3,NotPlaced,Pooja Sen,20,Electronics & Communication Engineering,82.1,52.3,64.6,64.1,"JavaScript, Swift",4.7,92.9,Yes,5.8
14,15,7.5,1,1,1,6,No,No,61,66,2,NotPlaced,Riya Pandey,21,Computer Science & Engineering,66.9,66.4,67.0,58.2,"Python, Java, C++",4.3,86.6,No,5.53
15,16,7.4,0,2,1,7,No,No,63,66,4,NotPlaced,Aditya Iyer,21,Computer Science & Engineering,68.2,35.7,80.4,55.5,"C++, Swift, Python",4.4,86.9,No,5.8
16,17,8.6,0,3,0,8,Yes,Yes,62,78,0,Placed,Rohan Kumar,21,Electrical & Electronics Engineering,95.6,90.5,77.0,100.0,"Python, SQL, Kotlin",4.8,93.6,No,20.4
17,18,8.2,2,3,2,9,Yes,Yes,84,86,0,Placed,Dev Banerjee,21,Computer Science & Engineering,77.3,95.3,93.4,86.6,"Python, C++, Java, SQL, Kotlin",4.9,98.1,No,29.39
18,19,6.8,2,3,0,7,Yes,Yes,72,82,1,Placed,Sai Mishra,24,Computer Science & Engineering,78.1,95.9,65.9,68.2,"Go, JavaScript, Python",4.3,90.3,No,17.46
19,20,7.4,1,2,0,7,No,Yes,58,63,2,NotPlaced,Aryan Patel,20,Computer Science & Engineering,84.4,38.6,69.4,60.8,"SQL, C++",4.8,95.0,Yes,5.8
20,21,7.6,2,1,0,8,No,Yes,77,75,0,Placed,Neha Pandey,20,Information Technology,86.9,80.8,100.0,86.7,"JavaScript, C++, SQL",4.7,88.1,No,23.43
21,22,7.4,1,2,1,7,No,Yes,82,69,0,Placed,Rohan Joshi,21,Computer Science & Engineering,91.1,63.1,78.0,74.7,"JavaScript, Python, Java",3.6,73.2,No,19.48
22,23,7.7,0,1,0,7,No,Yes,55,72,1,Placed,Kabir Pandey,22,Electronics & Communication Engineering,93.8,95.7,79.7,73.8,"Java, SQL, Python",3.9,64.2,No,16.23
23,24,7.4,1,1,0,6,No,No,55,71,2,NotPlaced,Meghna Mishra,21,Electronics & Communication Engineering,80.1,50.1,55.0,59.5,"Java, Python, JavaScript",4.2,73.6,No,5.47
24,25,7.4,1,2,1,9,No,Yes,56,69,4,NotPlaced,Siddhi Rao,23,Computer Science & Engineering,65.7,65.4,78.6,68.2,"Python, JavaScript, Java, SQL, C++",4.4,86.3,No,5.71
25,26,6.7,1,1,1,7,No,No,68,57,4,NotPlaced,Alok Rao,22,Information Technology,63.0,50.5,59.5,50.7,"Java, Python",4.2,82.0,No,5.51
26,27,7.4,2,3,2,7,Yes,Yes,76,82,4,NotPlaced,Vihaan Nair,23,Computer Science & Engineering,75.7,36.4,68.9,59.5,"JavaScript, Java",4.1,88.0,No,5.8
27,28,8.3,1,1,1,8,Yes,Yes,64,65,1,NotPlaced,Sai Banerjee,22,Electronics & Communication Engineering,63.7,50.5,69.8,68.7,"Python, Java, Kotlin, C++",4.7,92.1,Yes,5.8
28,29,7.5,1,2,1,8,No,No,66,73,2,NotPlaced,Sneha Joshi,23,Information Technology,83.7,60.0,86.8,66.7,"Python, Java, SQL",4.4,85.9,Yes,5.8
29,30,7.0,0,1,1,6,No,Yes,60,61,4,NotPlaced,Kiran Reddy,21,Computer Science & Engineering,76.6,32.0,62.4,51.1,"Python, JavaScript",3.8,77.9,No,4.92
30,31,8.4,2,3,2,9,Yes,Yes,55,80,0,Placed,Aditi Mishra,21,Computer Science & Engineering,87.7,93.8,93.2,91.0,"Python, C++, SQL",4.7,90.9,Yes,27.55
31,32,7.4,1,2,1,7,No,Yes,66,69,4,NotPlaced,Deepak Sen,22,Computer Science & Engineering,84.5,36.7,80.0,59.4,"Java, Python",4.9,97.5,No,5.8
32,33,8.5,1,3,0,9,Yes,Yes,85,85,0,Placed,Riya Gupta,23,Electronics & Communication Engineering,97.5,85.4,83.2,87.7,"Python, C++, SQL, Kotlin",5.0,95.6,No,25.99
33,34,8.6,1,2,2,7,Yes,Yes,62,80,0,Placed,Sanya Gupta,24,Computer Science & Engineering,80.6,100.0,100.0,84.9,"JavaScript, C++",4.7,85.9,No,45.0
34,35,6.9,0,1,0,7,No,Yes,79,68,0,Placed,Rahul Sen,22,Computer Science & Engineering,75.8,100.0,78.6,61.2,"JavaScript, Java, Python",4.0,73.7,Yes,12.42
35,36,7.8,1,1,1,6,No,No,65,73,4,NotPlaced,Kavya Pandey,22,Computer Science & Engineering,85.3,30.6,79.5,47.1,"C++, SQL",4.6,82.7,No,5.8
36,37,8.3,1,2,2,8,Yes,Yes,75,81,0,Placed,Karan Mehta,20,Civil Engineering,94.1,85.0,76.1,85.5,"Swift, C++, Python, Java",5.0,100.0,No,24.93
37,38,8.2,1,2,2,7,No,Yes,72,72,1,Placed,Vikram Pandey,22,Electronics & Communication Engineering,84.3,86.9,88.8,72.4,"SQL, C++, Go",4.4,90.4,No,21.45
